ResponseId,UserLanguage,consent,employment_status,role_type,role_type_11_TEXT,misinfo_intro,misinfo_attitudes_general,misinfo_attitudes_companies,misinfo_attitudes_platforms,attitudes_recommend,stated_ad_check,stated_consumer_reaction,consumer_info_demand,consumer_info_demand_yes,info_session_self_reported_demand,info_session_link_clicked,requests_full_ad_check,,prior_companies_1,prior_own_company,prior_own_comapny_c,prior_platforms_1,info_treatment,posterior_belief_1,platform_choice,donation,headquarter,num_employees,duration_of_role,industry,industry_11_TEXT,uses_digital_ads,gender,trust,bias,purpose,feedback,info_group,stated_preferences_8,stated_preferences_9,initial_beliefs_1_1,initial_beliefs_3_1,posterior_belief_old_1,stated_consumer,US_HQ,treated,prior_belief_platforms,posterior_belief,belief_own_company_yes,belief_own_company_no,prior_own_company_c,own_company_certainty,own_company_confidence_belief,female,male,digital_ad_use_yes,full_time_employee,part_time_employee,exec,marketing_role,big_business,no_info_demand,info_demand_yes,long_role,not_biased,appeared_on_misinfo,appears_in MP_data,final_role_type,platform_choice_misinfo,final_marketing
R_xrQPw4QTU4rRG3n,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Other manager  (managers in all other fields, e.g. science, engineering or architecture; agriculture; construction; education or childcare administration; service provider managers; property or personal managers, etc.)",,I have carefully read the above information.,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,I would like to find out how many people opted to sign a petition to voice concerns about company practices online.,1,I would not like to sign up for this consultation.,0,1,,80,No,Very sure,80,,10,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,United States of America,"More than 10,000",Between 1 year to less than 5 years,Technology,,Yes,Male,Agree,Slightly left-wing biased,Gage people perception on tolerance for misinformation,,Control,,,0,0,0,,1,0,80,10,0,1,Very sure,Certain,Certain - No,0,1,1,1,0,0,0,1,0,1,0,0,0,0,"Other manager  (managers in all other fields, e.g. science, engineering or architecture; agriculture; construction; education or childcare administration; service provider managers; property or personal managers, etc.)",1,0
R_2tGziSO4UFA9EQr,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner,"Research and science occupation  (e.g. life scientists, physical scientists, social scientists, science technicians, etc.)",,I have carefully read the above information.,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,90,Yes,Somewhat sure,50,I have carefully read the above information.,75,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,India,0 to 10,Between 10 years to less than 20 years,Business Solutions,,Yes,Male,Strongly agree,Not biased,"Highlighting ""inadvertent"" advertising support for Malicious MisInformation",,Treatment,,,0,0,0,,0,1,50,75,1,0,Somewhat sure,Certain,Certain - Yes,0,1,1,0,0,0,0,0,0,1,1,1,0,0,"Other manager  (managers in all other fields, e.g. science, engineering or architecture; agriculture; construction; education or childcare administration; service provider managers; property or personal managers, etc.)",0,0
R_2tigTdRblfzxvCo,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,0,,100,No,Very sure,100,,50,I would not like to receive this information.,The Global Disinformation Index,United States of America,11 to 100,Less than 1 year,Finance,,Yes,Male,Agree,Not biased,Assess awareness of misinformation website use on digital marketing.,,Control,,,0,0,0,,1,0,100,50,0,1,Very sure,Certain,Certain - No,0,1,1,1,0,1,0,0,1,0,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_oYu0dlLKUsOCaVr,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Part-time employee,Other occupation (please specify):,Board of directors ,I have carefully read the above information.,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,50,No,Sure,50,I have carefully read the above information.,130,I would not like to receive this information.,The Global Disinformation Index,United States of America,0 to 10,Between 1 year to less than 5 years,Education,,Yes,Female,Agree,Not biased,To qualify leads for a product or service that helps companies avoid having the products advertised on misinformation or hate speech websites.,,Treatment,,,0,0,0,,1,1,50,130,0,1,Sure,Certain,Certain - No,1,0,1,0,1,0,0,0,0,1,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_3rOHYDu3ql0C6Az,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,10,No,Very sure,10,I have carefully read the above information.,200,I would not like to receive this information.,DataKind,Finland,"More than 10,000",Between 5 years to less than 10 years,"Government, Politics or Religion",,No,Male,Agree,Not biased,,,Treatment,,,0,0,0,,0,1,10,200,0,1,Very sure,Certain,Certain - No,0,1,0,1,0,1,0,1,1,0,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_33vx3mjcjsDGwnZ,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Other manager  (managers in all other fields, e.g. science, engineering or architecture; agriculture; construction; education or childcare administration; service provider managers; property or personal managers, etc.)",,I have carefully read the above information.,Strongly agree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,80,No,Somewhat sure,80,,5,I would not like to receive this information.,The Global Disinformation Index,United States of America,"1001 to 10,000",Less than 1 year,Online Services,,I don't know,Male,Agree,Not biased,Evaluate demand for services that identify exposure of a company's Ads in misinformation sites,,Control,,,0,0,0,,1,0,80,5,0,1,Somewhat sure,Certain,Certain - No,0,1,0,1,0,0,0,1,1,0,0,1,1,1,"Other manager  (managers in all other fields, e.g. science, engineering or architecture; agriculture; construction; education or childcare administration; service provider managers; property or personal managers, etc.)",0,0
R_2vkK1JtfqaVos0P,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,0,,80,Yes,Sure,90,,90,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,Saudi Arabia,"More than 10,000",Less than 1 year,"Government, Politics or Religion",,Yes,Male,Agree,Not biased,,,Control,,,0,0,0,,0,0,90,90,1,0,Sure,Certain,Certain - Yes,0,1,1,1,0,1,0,1,0,1,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,0
R_22ljnChufGxLu5r,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would like to find out how many people opted to sign a petition to voice concerns about company practices online.,1,I would not like to sign up for this consultation.,0,1,,10,No,Somewhat sure,10,I have carefully read the above information.,100,I would not like to receive this information.,The Global Disinformation Index,United States of America,"1001 to 10,000",Between 1 year to less than 5 years,Automotive,,Yes,Male,Neither agree nor disagree,Not biased,Gather data on companies and ads for misinformation,,Treatment,,,0,0,0,,1,1,10,100,0,1,Somewhat sure,Certain,Certain - No,0,1,1,1,0,0,0,1,0,1,0,1,1,1,"Other manager  (managers in all other fields, e.g. science, engineering or architecture; agriculture; construction; education or childcare administration; service provider managers; property or personal managers, etc.)",0,0
R_emNxk9Gqgd9bOcV,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,10,No,Sure,10,I have carefully read the above information.,20,I would not like to receive this information.,The Global Disinformation Index,India,"More than 10,000",Between 1 year to less than 5 years,Finance,,Yes,Male,Strongly agree,Not biased,For a better understanding of Digital space in companies,.,Treatment,,,0,0,0,,0,1,10,20,0,1,Sure,Certain,Certain - No,0,1,1,1,0,1,0,1,1,0,0,1,0,1," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_3hydhkQk7F6ef3x,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Manager of advertising, marketing, promotions, public relations or sales ",,I have carefully read the above information.,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,50,No,Somewhat sure,60,,60,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,Switzerland,"1001 to 10,000",Between 1 year to less than 5 years,Finance,,I don't know,Male,Neither agree nor disagree,Not biased,Research,,Control,,,0,0,0,,0,0,60,60,0,1,Somewhat sure,Certain,Certain - No,0,1,0,1,0,0,1,1,1,0,0,1,0,1,"Manager of advertising, marketing, promotions, public relations or sales ",1,1
R_1j9zO7wj4EgT7XC,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,25,Yes,Unsure,10,I have carefully read the above information.,500,I would like to know which platforms least frequently place companies' ads on misinformation websites.,DataKind,United States of America,101 to 1000,Between 5 years to less than 10 years,Retail,,Yes,Male,Neither agree nor disagree,Slightly left-wing biased,Increase awareness of ads supporting misinformation sites.,Survey could be clearer.,Treatment,,,0,0,0,,1,1,10,500,1,0,Unsure,Uncertain,Uncertain - Yes,0,1,1,1,0,1,0,1,0,1,1,0,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,0
R_3EFijC6iZw1ICol,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner,"Manager of advertising, marketing, promotions, public relations or sales ",,I have carefully read the above information.,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,0,,86,No,Somewhat sure,25,,50,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,Greece,0 to 10,Between 5 years to less than 10 years,Other (please specify),,Yes,Female,Somewhat agree,Not biased,,,Control,,,0,0,0,,0,0,25,50,0,1,Somewhat sure,Certain,Certain - No,1,0,1,0,0,0,1,0,0,1,1,1,0,0,"Manager of advertising, marketing, promotions, public relations or sales ",1,1
R_0rlPTODWnXSIrjr,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Research and science occupation  (e.g. life scientists, physical scientists, social scientists, science technicians, etc.)",,I have carefully read the above information.,Agree,Agree,Agree,Agree,Agree,Somewhat agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,500,No,Somewhat sure,10,I have carefully read the above information.,150,I would not like to receive this information.,The Global Disinformation Index,Italy,101 to 1000,Between 10 years to less than 20 years,Education,,Yes,Male,Agree,Not biased,,,Treatment,,,0,0,0,,0,1,10,150,0,1,Somewhat sure,Certain,Certain - No,0,1,1,1,0,0,0,1,0,1,1,1,0,0,"Research and science occupation  (e.g. life scientists, physical scientists, social scientists, science technicians, etc.)",0,0
R_xnrOpKMI3AOX5AJ,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,250,No,Somewhat sure,5,,120,I would not like to receive this information.,DataKind,Nigeria,101 to 1000,Between 5 years to less than 10 years,Finance,,Yes,Male,Agree,Not biased,Assist in helping company avoid advertising on mis information website and be well informed ,,Control,,,0,0,0,,0,0,5,120,0,1,Somewhat sure,Certain,Certain - No,0,1,1,0,0,1,0,1,1,0,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_271Hnm9S8ONNF9W,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,92,No,Very sure,92,,75,I would like to know which types of analytics technologies are used to improve ad performance.,DataKind,Bulgaria,11 to 100,20 or more years,Online Services,,No,Female,Strongly agree,Not biased,Recommendations to socially responsible companies,,Control,,,0,0,0,,0,0,92,75,0,1,Very sure,Certain,Certain - No,1,0,0,1,0,1,0,0,0,1,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_vGeyGsu0HbW5MVr,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner,Other occupation (please specify):,Farmer with own farm,I have carefully read the above information.,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,0,,80,No,Very sure,60,I have carefully read the above information.,75,I would not like to receive this information.,DataKind,Germany,0 to 10,20 or more years,Other (please specify),agriculture,No,Male,Agree,Not biased,,,Treatment,,,0,0,0,,0,1,60,75,0,1,Very sure,Certain,Certain - No,0,1,0,0,0,0,0,0,1,0,1,1,0,0,Other occupation (please specify):,0,0
R_2sGEA1NWC6YoH4t,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,Other occupation (please specify):,Psychologist,I have carefully read the above information.,Agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,0,,75,Yes,Very sure,0,,10,I would not like to receive this information.,The Global Disinformation Index,Norway,101 to 1000,Less than 1 year,"Government, Politics or Religion",,I don't know,Male,Agree,Not biased,Gather information on level of awareness of advertising practices in relation to misinformation websites.,,Control,,,0,0,0,,0,0,0,10,1,0,Very sure,Certain,Certain - Yes,0,1,0,1,0,0,0,1,1,0,0,1,0,0,Other occupation (please specify):,0,0
R_ukRAJ6rW4xdr2rn,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,20,No,Sure,20,I have carefully read the above information.,20,I would not like to receive this information.,DataKind,Netherlands,0 to 10,Between 1 year to less than 5 years,Finance,,No,Male,Strongly disagree,Not biased,,,Treatment,,,0,0,0,,0,1,20,20,0,1,Sure,Certain,Certain - No,0,1,0,0,0,1,0,0,0,1,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_2ZTz7ciKr0Hv04d,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Somewhat disagree,I would like to find out how many people opted to sign a petition to voice concerns about company practices online.,1,I would not like to sign up for this consultation.,0,1,,80,No,Somewhat sure,24,,80,I would like to know which types of analytics technologies are used to improve ad performance.,DataKind,Singapore,"More than 10,000",Less than 1 year,Insurance,,Yes,Female,Agree,Not biased,Gauge awareness,,Control,,,0,0,0,,0,0,24,80,0,1,Somewhat sure,Certain,Certain - No,1,0,1,1,0,1,0,1,0,1,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_2z91PXmWUzPHtfW,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,Other occupation (please specify):,Managing veterinarian,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,100,No,Very sure,100,I have carefully read the above information.,65,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,United States of America,0 to 10,Between 5 years to less than 10 years,Health,,No,Female,Neither agree nor disagree,Slightly left-wing biased,Check if online survey leads to reading comprehension since most of the data was unclear and missing scale and data basis,,Treatment,,,0,0,0,,1,1,100,65,0,1,Very sure,Certain,Certain - No,1,0,0,1,0,0,0,0,1,0,1,0,0,0,Other occupation (please specify):,1,0
R_2VQlo9ts15CJoHb,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Business and finance specialist  (business specialists in market research, marketing, management analysis, human resources, compliance, procurement, etc.; financial specialists e.g. analysts and advisors, etc.)",,I have carefully read the above information.,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,5,No,Very sure,10,,65,I would like to know which types of analytics technologies are used to improve ad performance.,DataKind,Kenya,"1001 to 10,000",Between 5 years to less than 10 years,Other (please specify),"Non-government, Agriculture",I don't know,Male,Strongly agree,Not biased,To understand people's preference about their company's ads with respect to misinformation websites.,None,Control,,,0,0,0,,0,0,10,65,0,1,Very sure,Certain,Certain - No,0,1,0,1,0,0,0,1,0,1,1,1,0,0,"Business and finance specialist  (business specialists in market research, marketing, management analysis, human resources, compliance, procurement, etc.; financial specialists e.g. analysts and advisors, etc.)",0,0
R_1NrbwkFvCVlRAky,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,80,No,Somewhat sure,90,I have carefully read the above information.,80,I would not like to receive this information.,DataKind,Singapore,101 to 1000,Between 1 year to less than 5 years,Health,,No,Male,Agree,Not biased,Attitudes toward digital advertising,,Treatment,,,0,0,0,,0,1,90,80,0,1,Somewhat sure,Certain,Certain - No,0,1,0,1,0,1,0,1,1,0,0,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_3Pho5OSdaoR6dpr,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,50,No,Unsure,100,,40,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,Germany,101 to 1000,Between 5 years to less than 10 years,Retail,,Yes,Male,Somewhat agree,Not biased,,,Control,,,0,0,0,,0,0,100,40,0,1,Unsure,Uncertain,Uncertain - No,0,1,1,1,0,1,0,1,1,0,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_3s6KYIOercR1can,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,60,No,Very sure,60,I have carefully read the above information.,650,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,United States of America,101 to 1000,Between 10 years to less than 20 years,Other (please specify),glass manufacturing ,Yes,Male,Agree,Not biased,To inform and educate business owners about reality in advertising online,You need a country called Taiwan (Republic of China) in the country selection space,Treatment,,,0,0,0,,1,1,60,650,0,1,Very sure,Certain,Certain - No,0,1,1,1,0,1,0,1,0,1,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_3Di1SAsGKZq0kbk,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Agree,Agree,Agree,Agree,Somewhat disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,30,No,Sure,70,,90,I would like to know which platforms least frequently place companies' ads on misinformation websites.,The Global Disinformation Index,United Kingdom of Great Britain and Northern Ireland,0 to 10,Between 10 years to less than 20 years,Business Solutions,,Yes,Male,Agree,Not biased,Raise awareness,,Control,,,0,0,0,,0,0,70,90,0,1,Sure,Certain,Certain - No,0,1,1,0,0,1,0,0,0,1,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",1,0
R_3lGMSzLpVM9wUf6,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,20,No,Somewhat sure,10,I have carefully read the above information.,100,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,Ireland,11 to 100,Between 10 years to less than 20 years,Other (please specify),Consultanchy,Yes,Male,Agree,Not biased,To research the demand for a solution to on line reputation securkty,,Treatment,,,0,0,0,,0,1,10,100,0,1,Somewhat sure,Certain,Certain - No,0,1,1,1,0,1,0,0,1,0,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_3e05wfcuNzTRcQh,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,0,,5000,No,Very sure,85,,2500,I would not like to receive this information.,DataKind,Jordan,11 to 100,Between 1 year to less than 5 years,Other (please specify),Chemicals,No,Male,Agree,Slightly left-wing biased,fake news analysis.,,Control,,,0,0,0,,0,0,85,2500,0,1,Very sure,Certain,Certain - No,0,1,0,1,0,1,0,0,1,0,0,0,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_1j8QrrUs27kBZfn,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Manager of advertising, marketing, promotions, public relations or sales ",,I have carefully read the above information.,Strongly agree,Agree,Agree,Agree,Agree,Somewhat agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,0,,80,No,Sure,80,,60,I would not like to receive this information.,DataKind,Greece,101 to 1000,Between 1 year to less than 5 years,Technology,,Yes,Male,Agree,Not biased,,,Control,,,0,0,0,,0,0,80,60,0,1,Sure,Certain,Certain - No,0,1,1,1,0,0,1,1,1,0,0,1,0,0,"Manager of advertising, marketing, promotions, public relations or sales ",0,1
R_2DTRC719glBWW8R,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would like to find out how many people switched away from getting the company's products or services.,1,I would not like to sign up for this consultation.,0,1,,75,No,Somewhat sure,75,I have carefully read the above information.,75,I would not like to receive this information.,The Global Disinformation Index,Sweden,0 to 10,Between 10 years to less than 20 years,Media & Entertainment,,No,Male,Somewhat agree,Not biased,Sales,,Treatment,,,0,0,0,,0,1,75,75,0,1,Somewhat sure,Certain,Certain - No,0,1,0,0,0,1,0,0,0,1,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
R_1kXfCruDEGSHITY,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Self-employed or small business owner,"Manager of advertising, marketing, promotions, public relations or sales ",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,I would not like to receive this information.,0,I have signed up for this consultation.,0,1,,30,No,Somewhat sure,30,,30,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,Nigeria,0 to 10,Between 5 years to less than 10 years,Publishing (Digital or Print),,Yes,Female,Strongly disagree,Not biased,To know how you are fairing as an organization ,Is your company willing to help upcoming business to attain greater height in terms of finance,Control,,,0,0,0,,0,0,30,30,0,1,Somewhat sure,Certain,Certain - No,1,0,1,0,0,0,1,0,1,0,1,1,0,0,"Manager of advertising, marketing, promotions, public relations or sales ",0,1
R_O9dVPO91cgjoxJD,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",,I have carefully read the above information.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would not like to receive this information.,0,I would not like to sign up for this consultation.,0,1,,60,No,Sure,6,,50,I would like to know which platforms least frequently place companies' ads on misinformation websites.,DataKind,United Arab Emirates,101 to 1000,Between 5 years to less than 10 years,Other (please specify),Real Estate,Yes,Male,Agree,Not biased,,,Control,,,0,0,0,,0,0,6,50,0,1,Sure,Certain,Certain - No,0,1,1,1,0,0,0,1,1,0,1,1,0,0,"Operations manager  (e.g. managers of administrative services or facilities; computer or information systems; compensation, benefits or purchasing, finance; human resources or training; industrial production; logistics; etc.)",1,0
R_2xSiiCYro7mkdjC,EN,I AGREE to participate in this study and confirm that I am at least 18 years old,Full-time employee," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",,I have carefully read the above information.,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat disagree,I would like to find out how many people switched away from getting the company's products or services.,1,I have signed up for this consultation.,1,0,,40,Yes,Somewhat sure,8,I have carefully read the above information.,2000,I would like to know which types of analytics technologies are used to improve ad performance.,The Global Disinformation Index,Switzerland,101 to 1000,Between 5 years to less than 10 years,Holding Companies,,Yes,Male,Neither agree nor disagree,Not biased,"awareness, pre-sales activity for brand-safe advertising solution, Stanford study","is this questionnaire trustworthy? The invitation email was, the questionnaire left me wondering. ",Treatment,,,0,0,0,,0,1,8,2000,1,0,Somewhat sure,Certain,Certain - Yes,0,1,1,1,0,1,0,1,0,1,1,1,0,0," Top executive (e.g. chief executives, general and operations managers of multiple departments or locations, legislators)",0,0
